ID;Code;Country;ID;Code;Country
1;ARG;Argentina;40;KAZ;Kazakhstan
2;AUS;Australia;41;KHM;Cambodia
3;AUT;Austria;42;KOR;Korea
4;BEL;Belgium;43;LAO;Lao (People's Democratic Republic)
5;BGD;Bangladesh;44;LTU;Lithuania
6;BGR;Bulgaria;45;LUX;Luxembourg
7;BLR;Belarus;46;LVA;Latvia
8;BRA;Brazil;47;MAR;Morocco
9;BRN;Brunei Darussalam;48;MEX;Mexico
10;CAN;Canada;49;MLT;Malta
11;CHE;Switzerland;50;MMR;Myanmar
12;CHL;Chile;51;MYS;Malaysia
13;CHN;China (People's Republic of);52;NGA;Nigeria
14;CIV;Côte d'Ivoire;53;NLD;Netherlands
15;CMR;Cameroon;54;NOR;Norway
16;COL;Colombia;55;NZL;New Zealand
17;CRI;Costa Rica;56;PAK;Pakistan
18;CYP;Cyprus;57;PER;Peru
19;CZE;Czechia;58;PHL;Philippines
20;DEU;Germany;59;POL;Poland
21;DNK;Denmark;60;PRT;Portugal
22;EGY;Egypt;61;ROU;Romania
23;ESP;Spain;62;RUS;Russian Federation
24;EST;Estonia;63;SAU;Saudi Arabia
25;FIN;Finland;64;SEN;Senegal
26;FRA;France;65;SGP;Singapore
27;GBR;United Kingdom;66;SVK;Slovakia
28;GRC;Greece;67;SVN;Slovenia
29;HKG;Hong Kong, China;68;SWE;Sweden
30;HRV;Croatia;69;THA;Thailand
31;HUN;Hungary;70;TUN;Tunisia
32;IDN;Indonesia;71;TUR;Turkey
33;IND;India;72;TWN;Chinese Taipei
34;IRL;Ireland;73;UKR;Ukraine
35;ISL;Iceland;74;USA;United States
36;ISR;Israel;75;VNM;Vietnam
37;ITA;Italy;76;ZAF;South Africa
38;JOR;Jordan;77;ROW;Rest of the World
39;JPN;Japan;;;
