ID;Code;Country;Lat;Long
1;ARG;Argentina;-34;-64
2;AUS;Australia;-27;133
3;AUT;Austria;47.333333;13.333333
4;BEL;Belgium;50.833333;4
5;BGD;Bangladesh;24;90
6;BGR;Bulgaria;43;25
7;BLR;Belarus;53;28
8;BRA;Brazil;-10;55
9;BRN;Brunei Darussalam;4.535277;114.72767
10;CAN;Canada;60;-95
11;CHE;Switzerland;47;8
12;CHL;Chile;-30;-71
13;CHN;China (People's Republic of);35;105
14;CIV;Côte d'Ivoire;7.539989;-5.54708
15;CMR;Cameroon;6;12
16;COL;Colombia;4;-72
17;CRI;Costa Rica;10;-84
18;CYP;Cyprus;35;33
19;CZE;Czechia;49.8175;15.473
20;DEU;Germany;51;9
21;DNK;Denmark;56;10
22;EGY;Egypt;27;30
23;ESP;Spain;40;-4
24;EST;Estonia;59;26
25;FIN;Finland;64;26
26;FRA;France;46.603354;2.548828
27;GBR;United Kingdom;54;-2
28;GRC;Greece;39;22
29;HKG;Hong Kong, China;22.3193;114.1694
30;HRV;Croatia;45.166667;15.5
31;HUN;Hungary;47;20
32;IDN;Indonesia;-5;77
33;IND;India;20;77
34;IRL;Ireland;53;-8
35;ISL;Iceland;65;-18
36;ISR;Israel;31.5;34.75
37;ITA;Italy;42.833333;12.833333
38;JOR;Jordan;31;36
39;JPN;Japan;36;138
40;KAZ;Kazakhstan;48;68
41;KHM;Cambodia;13;105
42;KOR;Korea;35.907757;127.76692
43;LAO;Lao (People's Democratic Republic);19.85627;102.4955
44;LTU;Lithuania;56;24
45;LUX;Luxembourg;49.75;6.166667
46;LVA;Latvia;57;25
47;MAR;Morocco;32;-5
48;MEX;Mexico;23;-102
49;MLT;Malta;35.833333;14.583333
50;MMR;Myanmar;21.916221;95.955974
51;MYS;Malaysia;2.5;112.5
52;NGA;Nigeria;10;8
53;NLD;Netherlands;54.5;5.75
54;NOR;Norway;78;20
55;NZL;New Zealand;-41;174
56;PAK;Pakistan;30;70
57;PER;Peru;-10;-76
58;PHL;Philippines;13;122
59;POL;Poland;52;20
60;PRT;Portugal;39.5;-8
61;ROU;Romania;46;25
62;RUS;Russian Federation;61.52401;105.31876
63;SAU;Saudi Arabia;25;45
64;SEN;Senegal;14;-14
65;SGP;Singapore;1.366667;103.8
66;SVK;Slovakia;48.666667;19.5
67;SVN;Slovenia;46.116667;14.816667
68;SWE;Sweden;62;15
69;THA;Thailand;15;100
70;TUN;Tunisia;34;9
71;TUR;Turkey;39;35
72;TWN;Chinese Taipei;23.4;121
73;UKR;Ukraine;49;32
74;USA;United States;38;-97
75;VNM;Vietnam;16;108
76;ZAF;South Africa;-29;24
77;ROW;rest of the world;0;0
