ID;Old code;Code;Industry
1;D01T02;A01_02;Agriculture, hunting, forestry
2;D03;A03;Fishing and aquaculture
3;D05T06;B05_06;Mining and quarrying, energy producing products
4;D07T08;B07_08;Mining and quarrying, non-energy producing products
5;D09;B09;Mining support service activities
6;D10T12;C10T12;Food products, beverages and tobacco
7;D13T15;C13T15;Textiles, textile products, leather and footwear
8;D16;C16;Wood and products of wood and cork
9;D17T18;C17_18;Paper products and printing
10;D19;C19;Coke and refined petroleum products
11;D20;C20;Chemical and chemical products
12;D21;C21;Pharmaceuticals, medicinal chemical and botanical products
13;D22;C22;Rubber and plastics products
14;D23;C23;Other non-metallic mineral products
15;D24;C24;Basic metals
16;D25;C25;Fabricated metal products
17;D26;C26;Computer, electronic and optical equipment
18;D27;C27;Electrical equipment
19;D28;C28;Machinery and equipment, nec 
20;D29;C29;Motor vehicles, trailers and semi-trailers
21;D30;C30;Other transport equipment
22;D31T33;C31T33;"Manufacturing nec; repair and installation of machinery and equipment"
23;D35;D;Electricity, gas, steam and air conditioning supply
24;D36T39;E;"Water supply; sewerage, waste management and remediation activities"
25;D41T43;F;Construction
26;D45T47;G;"Wholesale and retail trade; repair of motor vehicles"
27;D49;H49;Land transport and transport via pipelines
28;D50;H50;Water transport
29;D51;H51;Air transport
30;D52;H52;Warehousing and support activities for transportation
31;D53;H53;Postal and courier activities
32;D55T56;I;Accommodation and food service activities
33;D58T60;J58T60;Publishing, audiovisual and broadcasting activities
34;D61;J61;Telecommunications
35;D62T63;J62_63;IT and other information services
36;D64T66;K;Financial and insurance activities
37;D68;L;Real estate activities
38;D69T75;M;Professional, scientific and technical activities
39;D77T82;N;Administrative and support services
40;D84;O;"Public administration and defence; compulsory social security"
41;D85;P;Education
42;D86T88;Q;Human health and social work activities
43;D90T93;R;Arts, entertainment and recreation
44;D94T96;S;Other service activities
45;D97T98;T;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use"
